2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:1137)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:1118)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		org.eclipse.swt.widgets.Control.sendFocusEvent(Control.java:2863)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		org.eclipse.swt.widgets.Widget.wmKillFocus(Widget.java:1995)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		org.eclipse.swt.widgets.Control.WM_KILLFOCUS(Control.java:5057)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		org.eclipse.swt.widgets.Control.windowProc(Control.java:4710)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		org.eclipse.swt.widgets.Text.windowProc(Text.java:2671)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		org.eclipse.swt.widgets.Display.windowProc(Display.java:5063)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		org.eclipse.swt.internal.win32.OS.CallWindowProcW(Native Method)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		org.eclipse.swt.internal.win32.OS.CallWindowProc(OS.java:2443)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		org.eclipse.swt.widgets.Text.callWindowProc(Text.java:260)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		org.eclipse.swt.widgets.Widget.wmLButtonDown(Widget.java:2067)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		org.eclipse.swt.widgets.Control.WM_LBUTTONDOWN(Control.java:5065)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		org.eclipse.swt.widgets.Text.WM_LBUTTONDOWN(Text.java:2940)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		org.eclipse.swt.widgets.Control.windowProc(Control.java:4712)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		org.eclipse.swt.widgets.Text.windowProc(Text.java:2671)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		org.eclipse.swt.widgets.Display.windowProc(Display.java:5063)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		org.eclipse.swt.internal.win32.OS.DispatchMessageW(Native Method)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		org.eclipse.swt.internal.win32.OS.DispatchMessage(OS.java:2549)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		org.eclipse.swt.widgets.Display.readAndDispatch(Display.java:3767)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		com.hynu.ui.RegisterUI.open(RegisterUI.java:67)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		com.hynu.ui.LoginUI$3.mouseDown(LoginUI.java:127)
